,rent,location,bedroom,bathroom,toilet,parking
10222,300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1.0,1.0,1.0,2.0
10223,1200000, Near Airportajao Estate Isolo Lagos,4.0,4.0,5.0,2.0
10224,600000, Opp Harmony Estate Ado Ajah Lagos,2.0,2.0,2.0,1.0
10225,15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3.0,3.0,4.0,2.0
10226,6000000, Mende Maryland Lagos,5.0,5.0,6.0,4.0
10227,50000, 21 Ogunnusi Road Ogba Ikeja Lagos,4.0,4.0,5.0,3.0
10228,5500000, Osapa London Osapa Lekki Lagos,4.0,4.0,5.0,3.0
10229,5500000, Bogije Bogije Ibeju Lekki Lagos,3.0,3.0,4.0,2.0
10230,5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
10231,5500000, Eleko Eleko Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
10234,5500000, Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,3.0
10235,1500000, Agungi Lekki Lagos,1.0,1.0,2.0,12.0
10236,60000000, Lekki Lagos Lekki Lagos,15.0,15.0,20.0,20.0
10237,1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2.0,2.0,3.0,1.0
10238,13000000, In A Well Secured Mini Court Ikoyi Lagos,4.0,5.0,5.0,3.0
10239,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
10240,900000, Off Pedro Road Pedro Gbagada Lagos,2.0,2.0,3.0,1.0
10241,4500000, Ikate Lekki Lagos,4.0,4.0,5.0,2.0
10242,800000, Kilo Surulere Lagos,2.0,2.0,2.0,1.0
10243,300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1.0,1.0,1.0,2.0
10244,1200000, Near Airportajao Estate Isolo Lagos,4.0,4.0,5.0,2.0
10245,600000, Opp Harmony Estate Ado Ajah Lagos,2.0,2.0,2.0,1.0
10246,15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3.0,3.0,4.0,2.0
10247,6000000, Mende Maryland Lagos,5.0,5.0,6.0,4.0
10248,16100000, Victoria Island (VI) Lagos,3.0,3.0,4.0,2.0
